 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"29","Drs. H. BISRI ROMLY, M.M. ","A-29 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKALONGAN ","1955-07-05 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:09:19 "
"30","H. SUKAMTO, S.H. ","A-30 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SRAGEN ","1945-08-10 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:09:40 "
"31","H. SYAIKHUL ISLAM ALI, Lc., M.Sosio. ","A-31 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SIDOARJO ","1985-11-03 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:09:58 "
"32","ARZETI BILBINA, S.E., M.AP ","A-32 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LAMPUNG ","1973-09-04 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:10:21 "
"33","FAISOL RIZA, S.S. ","A-33 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PROBOLINGGO ","1973-01-01 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:10:40 "
"34","Dra. Hj. ANISAH SYAKUR ","A-34 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PASURUAN ","1949-10-10 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:11:08 "
"35","Dr. Hj. NIHAYATUL WAFIROH, M.A. ","A-35 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANYUWANGI ","1979-12-15 ","Perempuan ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:11:25 "
"36","Ir. H. M. NASIM KHAN ","A-36 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SITUBONDO ","1975-06-10 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:11:48 "
"37","Drs. H. M. SYAIFUL BAHRI ANSHORI, M.P. ","A-37 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEMBER ","1966-11-15 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:12:05 "
"38","Ir. H. NUR YASIN, M.B.A. M.T. ","A-38 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEMBER ","1954-10-17 ","Laki-Laki ","","","Fraksi Partai Kebangkitan Bangsa ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-02-08 09:12:25 "
