 "Daftar Anggota MPR RI Periode 2019-2024 ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"NO ","NAMA ","NOMOR ANGGOTA ","NO.KEPRES ","TEMPAT LAHIR ","TANGGAL LAHIR ","JENIS KELAMIN ","AGAMA ","PENDIDIKAN TERAKHIR ","FRAKSI ","PROVINSI ","JABATAN ","STATUS ANGGOTA ","CREATED ","UPDATED "
"360","Drs. H TAMANURI, M.M. ","A-360 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANAH ABANG ","1952-08-08 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"361","ZURISTYO FIRMADATA,, S.E., M.M ","A-361 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MENTOK ","1973-01-07 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","KEPULAUAN BANGKA BELITUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"362","Drs. H. NYAT KADIR ","A-362 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANGGAK LAUT ","1949-03-18 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","KEPULAUAN RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"363","AHMAD SAHRONI, S.E. ","A-363 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1977-08-08 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"364","MUHAMMAD FARHAN ","A-364 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOGOR ","1970-02-25 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"365","RIAN FIRMANSYAH, S.Pd ","A-365 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1988-04-06 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"366","Drs.H. TJETJEP MUCHTAR SOLEH, M.M. ","A-366 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIANJUR ","1953-02-03 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"367","SAAN MUSTOPA, M.Si. ","A-367 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KARAWANG ","1968-06-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"368","SATORI, S.Pdi, M.M. ","A-368 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1970-02-25 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"369","Drs. FADHOLI, M.Ikom ","A-369 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KENDAL ","1960-01-21 ","Laki-Laki ","Islam ","Pasca Sarjana ","Fraksi Partai NasDem ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-14 08:27:25 "
"370","Dr. LESTARI MOERDIJAT S.S., M.M. ","A-370 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1967-11-30 ","Perempuan ","","","Fraksi Partai NasDem ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-30 06:44:11 "
"371","Hj. SRI WULAN, S.E. ","A-371 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PATI ","1977-04-08 ","Perempuan ","","","Fraksi Partai NasDem ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:46:06 "
"372","EVA YULIANA, M.Si. ","A-372 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SEMARANG ","1973-07-23 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"373","SUGENG SUPARWOTO ","A-373 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PURWOREJO ","1962-04-11 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"374","H. SUBARDI, S.H., M.H. ","A-374 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SLEMAN ","1953-05-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","DI YOGYAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"375","Drs. H. HASAN AMINUDDIN, M.Si. ","AA-375 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PROBOLINGGO ","1965-01-07 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:56:34 "
"376","AMINUROKHMAN, SE., MM. ","A-376 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PASURUAN ","1962-02-12 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"377","ACHMAD. FADIL MUZAKKI SYAH, S.Pd.I ","A-377 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEMBER ","1979-10-21 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"378","H. CHARLES MEIKYANSAH, S. Sos., M.I.Kom ","A-378 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1973-05-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 10:53:32 "
"379","KRESNA DEWANATA PHROSAKH ","A-379 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALANG ","1985-12-29 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"380","NURHADI, S.Pd. ","A-380 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BLITAR ","1975-01-12 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"381","SRI WAHYUNI ","A-381 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TABALONG ","1967-06-08 ","P ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"382","Drs. H. SOEHARTONO, M.Si. ","A-382 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MADIUN ","1949-07-01 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"383","WILLY ADITYA ","A-383 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SOLOK ","1978-04-12 ","Laki-Laki ","","","Fraksi Partai NasDem ","JAWA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-06 08:22:49 "
"384","M. SYAMSUL LUTHFI, S.E. ","A-384 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PANCOR ","1971-01-30 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","NUSA TENGGARA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"385","JULIE SUTRISNO ","AA-385 ","16/P TAHUN 2020, 7 FEBRUARI 2020 ","JAKARTA ","1972-06-17 ","P ","KRISTEN ","SARJANA ","Fraksi Partai NasDem ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"386","KRISTIANA MUKI, S.Pd, M.Si ","AA386-386 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KEFAMENANU ","1974-10-03 ","P ","KATOLIK ","PASCA SARJANA ","Fraksi Partai NasDem ","NUSA TENGGARA TIMUR ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:47:55 "
"387","RATU NGADU BONU WULLA, S.T. ","A-387 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WAIKABUBAK ","1979-10-12 ","P ","KATOLIK ","SARJANA ","Fraksi Partai NasDem ","NUSA TENGGARA TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"388","SYARIEF ABDULLAH ALKADRIE, S.H., M.H. ","A-388 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG SALEH, KUBU RAYA ","1966-06-14 ","Laki-Laki ","","","Fraksi Partai NasDem ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-06-16 13:29:54 "
"389","YESSY MELANIA, S.E. ","A-389 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","HANGA PINOH ","1989-06-16 ","P ","KATOLIK ","SARJANA ","Fraksi Partai NasDem ","KALIMANTAN BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"390","ARY EGAHNI, S.H. ","A-390 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANJARMASIN ","1969-05-12 ","P ","KRISTEN ","SARJANA ","Fraksi Partai NasDem ","KALIMANTAN TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"391","Prof. Dr. AWANG FAROEK ISHAK, M.M. ","A-391 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TENGGARONG ","1948-07-31 ","L ","ISLAM ","DOKTOR ","Fraksi Partai NasDem ","KALIMANTAN TIMUR ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"392","ARKANATA AKRAM, S.T., B.E. (Hons), MEngSc ","A-392 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAMARINDA ","1995-11-21 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","KALIMANTAN UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"393","FELLY ESTELITA RUNTUWENE, SE. ","A-393 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","RUMOOH BAWAH ","1971-02-11 ","P ","KRISTEN ","SARJANA ","Fraksi Partai NasDem ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"394","HILLARY BRIGITTA LASUT, S.H. ","A-394 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MANADO ","1996-05-22 ","Perempuan ","","","Fraksi Partai NasDem ","SULAWESI UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:45:19 "
"395","AHMAD H.M ALI, S.E. ","A-395 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WOSLI, MOROWARI ","1969-05-16 ","L ","ISLAM ","SARJANA ","Fraksi Partai NasDem ","SULAWESI TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"396","MUHAMMAD RAPSEL ALI ","A-396 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SELAYAR ","1971-05-06 ","L ","ISLAM ","SLTA ","Fraksi Partai NasDem ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"397","DRG. Hj. HASNAH SYAM, MARS ","A-397 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BARRU ","1959-07-22 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"398","RUSDI MASSE MAPPASESSU ","A-398 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","RAPPANG ","1973-03-03 ","L ","ISLAM ","SLTA ","Fraksi Partai NasDem ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"399","EVA STEVANY RATABA ","A-399 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","RANTEPAO ","1982-09-03 ","P ","KRISTEN ","SLTA ","Fraksi Partai NasDem ","SULAWESI SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"400","Dra. Hj. TINA NUR ALAM, M.M. ","A-400 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KENDARI ","1964-03-23 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","SULAWESI TENGGARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"401","RACHMAD GOBEL ","A-401 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1962-09-03 ","L ","ISLAM ","SLTA ","Fraksi Partai NasDem ","GORONTALO ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"402","RATIH MEGASARI SINGKARRU, M.Sc. ","A-402 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1989-10-22 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","SULAWESI BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"403","Ir. ABDULLAH TUASIKAL, M.Si. ","A-403 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","AMBON ","1959-06-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai NasDem ","MALUKU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"404","Dr. ACHMAD HATARI, SE., M.Si. ","A-404 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","GURABATI-TIDORE ","1955-01-02 ","L ","ISLAM ","DOKTOR ","Fraksi Partai NasDem ","MALUKU UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"405","ROBERTH ROUW ","A-405 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SERUI ","1961-06-09 ","Laki-Laki ","","SLTA ","Fraksi Partai NasDem ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:46:08 "
"406","H. SULAEMAN L. HAMZAH ","A-406 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","LEWOTOLOK/LEMBATA ","1954-08-18 ","L ","ISLAM ","SLTA ","Fraksi Partai NasDem ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"407","INA ELISABETH KOBAK, S.T. ","A-407 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","WAMENA ","1990-12-13 ","P ","KRISTEN ","SARJANA ","Fraksi Partai NasDem ","PAPUA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"408","RICO SIA ","A-408 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SORONG, PAPUA BARAT ","1970-01-08 ","L ","KRISTEN ","SARJANA ","Fraksi Partai NasDem ","PAPUA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"409","RAFLY KANDE ","A-409 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SAMADUA ","1967-08-01 ","Laki-Laki ","","SLTA ","Fraksi Partai Keadilan Sejahtera ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-07-04 02:42:39 "
"410","H. MUHAMMAD NASIR DJAMIL, S.AG., M.Si. ","A-410 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MEDAN ","1970-01-22 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","ACEH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"411","IR. H. TIFATUL SEMBIRING ","A-411 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BUKIT TINGGI ","1961-09-28 ","Laki-Laki ","","","Fraksi Partai Keadilan Sejahtera ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2021-06-21 10:47:13 "
"412","H. HIDAYATULLAH, S.E. ","A-412 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","MALAYSIA ","1961-10-24 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"413","H. ISKAN QOLBA LUBIS ","A-413 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SIBUHAN ","1961-01-01 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"414","H. ANSORY SIREGAR ","A-414 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANGUN PURBA ","1965-06-10 ","L ","ISLAM ","SLTA ","Fraksi Partai Keadilan Sejahtera ","SUMATERA UTARA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"415","Dr. HERMANTO, S.E., M.M ","A-415 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PALEMBANG ","1960-01-01 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"416","Hj. NEVI ZUAIRINA ","A-416 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1965-09-20 ","P ","ISLAM ","SLTA ","Fraksi Partai Keadilan Sejahtera ","SUMATERA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"417","Drs. CHAIRUL ANWAR, A.pt. ","A-417 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKANBARU ","1963-10-13 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"418","H. SYAHRUL AIDI MAAZAT, Lc. MA ","A-418 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KAMPAR ","1977-09-21 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","RIAU ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"419","H. MUSTAFA KAMAL, S.S. ","A-419 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1969-12-14 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","SUMATERA SELATAN ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 10:54:01 "
"420","DR. H. ALMUZZAMMIL YUSUF, M.Si. ","A-420 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG KARANG ","1965-06-06 ","Laki-Laki ","","","Fraksi Partai Keadilan Sejahtera ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-06 08:24:34 "
"421","Ir. H. A. JUNAIDI AULY, M.M. ","A-421 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TANJUNG KARANG ","1963-06-26 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","LAMPUNG ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"422","Dr. H. MARDANI, M.Eng. ","A-422 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1968-04-09 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"423","Dr. HJ ANIS BYARWATI, S.Ag., M.Si ","A-423 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","SURABAYA ","1967-03-09 ","P ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"424","Dr. H. M. HIDAYAT NUR WAHID, M.A. ","A-424 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","KLATEN ","1960-04-08 ","Laki-Laki ","","","Fraksi Partai Keadilan Sejahtera ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2023-06-14 07:40:41 "
"425","Dr. Hj. KURNIASIH MUFIDAYATI, M.Si. ","A-425 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PEKALONGAN ","1970-02-19 ","P ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"426","Drs. H. ADANG DARADJATUN ","A-426 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BOGOR ","1949-05-13 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","DKI JAKARTA ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"427","Hj. LEDIA HANIFA A, S.Si., M.Psi.T ","A-427 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1969-04-30 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"428","TEDDY SETIADI, S.I.Kom. ","A-428 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1970-04-05 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"429","dr. H. ADANG SUDRAJAT, M.M. ","AA-429 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIAMIS ","1962-10-23 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Tidak Aktif ","-0001-11-30 00:00:00 ","2022-06-16 05:52:09 "
"430","H. ECKY AWAL MUCHARAM ","A-430 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIANJUR ","1969-03-19 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"431","drh. H. SLAMET ","A-431 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","REMBANG ","1971-05-19 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"432","DR. H. FAHMY ALAYDROES, M.M., M.Ed. ","A-432 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1962-01-26 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"433","MAHFUDZ ABDURRAHMAN, S.Sos ","A-433 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1958-06-18 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"434","Hj. NUR AZIZAH TAMHID, B.A., M.A. ","A-434 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BLITAR ","1954-09-18 ","P ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"435","AHMAD SYAIKHU ","A-435 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIREBON ","1965-01-23 ","L ","ISLAM ","DIPLOMA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","2022-07-13 03:46:32 "
"436","Dr. Hj. NETTY PRASETIYANI, M.Si. ","A-436 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JAKARTA ","1969-10-15 ","P ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"437","H. NURHASAN ZAIDI ","A-437 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","BANDUNG ","1967-09-20 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"438","DR. KH. SURAHMAN HIDAYAT, M.A. ","A-438 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","CIAMIS ","1957-05-13 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"439","KH. TORIQ HIDAYAT, Lc. ","A-439 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","TASIKMALAYA ","1955-01-19 ","L ","ISLAM ","SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA BARAT ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"440","KH. BUKHORI, Lc. M.A. ","A-440 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","JEPARA ","1965-03-05 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"441","DRS. H. HAMID NOOR YASIN, M.M. ","A-441 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PACITAN ","1969-05-27 ","L ","ISLAM ","PASCA SARJANA ","Fraksi Partai Keadilan Sejahtera ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
"442","Dr. H. ABDUL KHARIS ALMASYHARI ","A-442 ","98/P TAHUN 2019, 27 SEPTEMBER 2019 ","PURWOREJO ","1968-08-25 ","L ","ISLAM ","DOKTOR ","Fraksi Partai Keadilan Sejahtera ","JAWA TENGAH ","anggota ","Aktif ","-0001-11-30 00:00:00 ","-0001-11-30 00:00:00 "
